@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
122,'2022/03/16 22:40:33:205',1,2.040973,2.040973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,'2022/03/16 22:40:33:206',1,2.040973,2.040973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
124,'2022/03/16 22:40:33:223',1,2.282202,2.282202,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,'2022/03/16 22:40:33:234',1,2.14336,2.14336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,'2022/03/16 22:40:33:245',1,2.569405,2.569405,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127,'2022/03/16 22:40:33:246',1,2.569405,2.569405,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,'2022/03/16 22:40:33:258',1,2.455465,2.455465,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,'2022/03/16 22:40:33:268',1,2.87917,2.87917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,'2022/03/16 22:40:33:279',1,2.746917,2.746917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,'2022/03/16 22:40:33:290',1,2.607535,2.607535,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,'2022/03/16 22:40:33:299',1,2.701095,2.701095,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,'2022/03/16 22:40:33:309',1,2.484617,2.484617,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,'2022/03/16 22:40:33:320',1,2.153559,2.153559,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,'2022/03/16 22:40:33:356',1,2.334658,2.334658,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,'2022/03/16 22:40:33:357',1,2.334658,2.334658,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,'2022/03/16 22:40:33:357',1,2.334658,2.334658,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
138,'2022/03/16 22:40:33:360',1,2.334658,2.334658,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,'2022/03/16 22:40:33:382',1,2.536436,2.536436,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,'2022/03/16 22:40:33:383',1,2.536436,2.536436,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
